author,date,score,review
MisterD,2 years ago,2,"I returned the first two of these because the toaster wasn’t wired properly. Selecting the single slot option did the same thing as the bagel option and did not just turn on only 1 slot. Now that I’m on my 3rd one the wiring is correct, but I really struggle with this because it does not toast evenly. 1 side of the bread burns while the other is not done enough. This is true of all slots and on all settings I’ve tried. I think it just runs too hot and overcooks. It’s disappointing because this is a good looking toaster and the price is fantastic. I’m going to return this and go for another brand. "
CA Bagel Lover,3 years ago,2,"We bought this to replace our older Cuisinart toaster.  As we took the new one out of the box, we could tell how cheap and flimsy it felt!  And, now that we've used it, we found that it really is a poor-quality toaster.  The slots are not as wide enough to accommodate a bagel, and we often have to scrape it out.  Even using the highest setting, we have to toast bagels and toast twice, to get the desired shade.  You have to push down on the levers at least 2 times to begin the toasting.  Overall, a very disappointing product.  Will be returning ASAP. "
Barbara Rose,3 years ago,1,My 2 slice Cuisinart toaster I've had for years started taking longer to toast and had to be set on a higher setting. I decided to replace it with this 4 slice one. The 4 slice didn't perform as well as my old toaster. I had to put it on the highest setting and then turn the toast or waffles and toast for a few more minutes. I returned it and am using the old toaster for now. I was very disappointed because I loved the 2 slice Cuisinart when it was new. 
Johnny H,3 years ago,1,Tried the single slice feature on the toaster and observed elements in both slots heating. Posted questions on-line and called customer support and received contradictory statements regarding the single slice behavior. Returned first toaster and second toaster does same thing. I measured power draw with single slice enabled and disabled and there is no difference: 900W for bread setting regardless of single slice setting. Tested toasting a single slice with and without single slice enabled and saw no difference. Called Cuisinart support again and rep told me that both slots heat up regardless of single slice setting. So this feature isn’t really a feature at all. It’s just a marketing lie. If you’re buying this for the single slice feature don’t bother - it literally does nothing but turn the button LED on or off. 
SJCA,3 years ago,1,"The toaster looks nice, but that's about the only pro. The cons:1) You have to press real hard in order for the toaster to start working. 2) Once toasting is done, the lever hardly rises and the sound it makes is very faint. So it's basically impossible to know when the toast is ready. 3) Even when you lift the lever up, it's very difficult to take out the toast.  Will return and get a less fancy, but functional, toaster. "
Johnny Rondo,3 years ago,1,"I have had this toaster for two months now and I am not happy with this unit.The bread does not get toasted evenly; one edge is almost burnt and the other edge has not begun to get toasty yet. Also, the single slice option does not work. When I set it for single slice both it still has the double burners running. "
TutuQutu,3 years ago,5,". This is a very nice toaster. It looks beautiful, and operates flawless for years. This is our second piece, as our first one is taken by our son to his college dorm. "
Karl,3 months ago,2,"I bought this about a year ago and it has had considerable use. I've been a satisfied Cuisinart brand customer for decades with close to a dozen of their appliances in my kitchen. This toaster, bought because of its many features is very disappointing. It fails at making basic toast. The heat elements are programmed or engineered incorrectly so it never makes a consistent even piece of toast. One side is vastly different from the other and the center is untoasted while the ends are nearly burnt. I've tried all the different selections, dials, etc. and cannot get a basic decent piece of toast. All of my other Cuisinart products are great but this one is a dud. "
ahill,3 years ago,1,Threw away my $9.99 toaster to get this which can’t toast One side burns on 3 setting and other side burns on 6 settingIt’s a toaster! How can you not get it to work properly 
Mary in Maryland,3 years ago,3,"I like the many types of items available to select from to toast but this toaster seems to not be very sturdy.  As well, the bread or other items when finished toasting don't come up very high so you need wooden tongs to get items out.  And the toasting doesn't seem to be very even or dark enough, and that is with the selection knob on the darkest option. Doesn't seem worth the price. "
Anonymous,2 years ago,1,We may have bought the bad apple in the bunch but this toaster would not regulate the degree of burn in the bread and over toasted everything even on the lowest setting.  Also one side stopped locking down and would not latch when bread was inserted.  Costo took it back without a fuss.  Not my typical experiende with Cuisinart. 
Cando,3 years ago,1,Did not toast evenly on both sides of bread.  Too many confusing lights.  Hard to adjust the color/darkness of toast. 
SA shopper,3 years ago,1,"Just received and tried it out immediately. Dark on one side, nothing on the other. Plus the toasted side is unevenly browned, including burnt places. Wish I could post photos. "
Buffy,3 years ago,5,"We love this toaster! It's really fast. On our old toaster the setting equaled minutes to toast, which was terrible. This toaster evenly browns, if you pay attention to what setting you used, e.g. English muffin, bagel, single slice, etc. "
michiganman68,2 years ago,1,"Most convoluted toaster on the market. Half the time I pull the levers down, it does not turn on the toaster. Bagel feature only heats one side of the bagel. I cut my finger when putting in some toast due to a burred edge on the inside of the toaster well. Toaster makes obnoxious noise when done toasting. Overall i would give this 0 stars but thats not an option, will be promptly returning this. "
BeckyAnne,2 months ago,5,"Bought this a couple months ago and expected better from the Cuisinart brand. We own other Cuisinart small kitchen appliances and have never experienced this lack of quality; will be cautious with the brand in the future. The level of toasting is inconsistent when the selected level has not been changed (burnt on level 3!) and it differs from the right side to the left. Pushing the lever down seems more difficult than other toasters we've had, and the toast does not pop up high enough to access without lifting up on the lever. Toaster slots seem to be narrower than previously owned toasters as well. Burned one slice too many so returning it. "
Joanna,a year ago,5,"This toaster looks nice on the counter (it's less bulky looking than some others) and does all that it promises.  After a small amount of trial and error, I've figured out which settings I prefer for different types of bread.  The defrost feature allows you to take bread slices from the freezer and produce the exact doneness you desire.  The two levers allow you to give an extra lift to your toast to avoid scorching your fingers while removing your items.  The outside surface has a lovely finish and is very easy to clean, as are the two pull-out drawers in the back.  Overall, I'm very happy with this purchase and feel that this toaster is an excellent value to replace my previous Cuisinart model. "
Jeanie,3 years ago,3,"The toaster is beautiful and compliments our kitchen. However, I have noticed a lag in the start control button which causes me concern. Thinking my toaster is working, I find it has not connected to the ""toast"" element causing me a delay in my timing. I don't want to request a replacement but I may need to do so. This is our third Cuisinart and I have never encountered this problem before. "
Emma,3 years ago,1,"Right out of the box, the spring loading mechanism never worked properly. Hard to get to stay down when pushed. Toast doesnt pop up - you have to hold the lever up to retrieve. I dont think this toaster is going to last very  long. Old, inexpensive toaster, which still works, was ten years old! "
JJ12345,7 months ago,4,"This toaster works pretty well, but I don't like that I have to select ""bread"" before I push the handle down to toast.  If I don't select ""bread"", I have to push it twice; the first time it will pop back up and I need to hit it a second.  Not a deal breaker, but there shouldn't be two steps to use a toaster.  I don't think the ""single"" slice feature does anything as I've tried it and nothing is different than when I don't hit that feature and toast just a single slice.  I like the adjustment for how cooked I like my toast and that works well.  I don't use bagels or waffles so I can't tell you how it works for those features.  I would recommend this toaster still because it toasts our bread just fine. "
Taschka,5 months ago,1,"Many things to say about this toaster, none of them good. We wanted a double toaster for ages and were so excited to find one at Costco. This one is silly and I regret not taking it back. You must “wake” the toaster before using. So, you can’t just put your toast in and push the lever. The lever or one of the buttons must be pressed and THEN you can toast your bread. My parents have an older model of this and do not have this issue. And after using this for a year, it only toasts bread on one side. Also wish there was a “warm/reheat” function. We’ll deal with this one until we can afford another one but as soon as we can, this one is out. "
Gary,10 months ago,1,"I’ve had this toaster for a couple weeks. While it looks nice on the counter, it does not perform well. As others have mentioned, the latch requires a lot of force to engage. Sometimes it latches but fails to start toasting. When the toast is done, the carriage fails to raise the toast all the way, so you need to manually raise it to remove the toast. On the same setting, the level of toasting is inconsistent from day to day. Also as others have mentioned, the single slice function only turns off the heating elements on one side of the second slot, which seems like a design fail. "
Mark,3 years ago,5,"So far so good. It’s all stainless steel, not sure why it’s shown also in white. "
Taylor B,3 years ago,1,This is a horrible toaster.  I have bought Cuisinart for years.  Does not toast evenly and when you put the lever down to toast you have to make sure it clicks all the way down to start the electric elements.  They have cheapened this toaster up.Returning tomorrow at the store 
Greg,3 years ago,1,One side does light up the other under cooks 
Shopper,2 years ago,3,"Mixed feelings. Works very fast. However difficult to know which darkness settings to use and inconsistent results. Sometimes a 3 setting will be fine, sometimes the toast isn't toasted at all and has to be repeated with the usual burned results. On bagels and English muffins you have to be careful to put the bread sides to be facing out which is counterintuitive. You also have to make sure the toaster handles are properly engaged or the toaster will unexpectedly turnoff. Too much of a learning process and disappointing. I'd return but my wife insisted on throwing out the old and slow Kenmore toaster. "
Sparkie,3 years ago,5,"Toasts everything evenly, from English muffins to raisin bread. The controls make it easy to fine-tune settings. Brushed stainless exterior wipes clean and there's no annoying groove around the top of the toaster to collect crumbs. We miss having a beep to alert when the toast is done, but we can live without it :0) "
D A Davis,3 years ago,3,Product’s fine but manufacturer refuses to register it because they don’t accept Costco’s model number. 
Jester1028,3 years ago,4,"Just got this toaster yesterday, used it this morning. It has a single slice/slot option. Pressed ""single"" button but both slots lit up. "
SueP,3 years ago,5,"This is a really nice toaster.  It's smaller than our other toaster and has more features depending on what you plan to toast...bagels, bread, pastry, etc. I looks good on the countertop and having the two sides, we don't have to keep changing the settings.  Also like the one slice feature. "
Traycee,3 months ago,1,"This is probably the worst toaster I’ve ever had. Somehow one side of the toast gets more done than the other. One side can be burnt and the other side just right. One side can be just right and the other one still cold. I’m not talking about the different openings; I’m talking about the item that was put in. You have to push the lever down twice. The first time you push it down everything lights up, so you think it is working, but no. You need to push it down a second time to start it. I finally got used to it. I would push down once walk away and come back to it not even started. "
Bant,2 years ago,1,The coils only work on one side so you have to keep turning your slices. This is the 4th Cuisinart toaster I have purchased in 4 years all with the same problem. Will be returning this item. Crazy that Cuisinart would ruin their brand with such an inferior product: how hard can it be to build a proper toaster! I give it one star because it looks nice. 
Skibness,2 years ago,1,This name brand toaster couldn’t do the one thing it was bought for. Toast bread. A setting of 4 made darker toast than a setting of 7. Browning differed between the 4 slots. Browning varied across a single slice or on each side. All 4 slots had weak pop up mechanisms. And this is a CUISINART! Very disappointing. 
Tant,3 years ago,1,Returned.  Half the heating elements didn't even get hot/turn red even at the highest setting.  Did not toast bread at all.  What a waste.  Anyone know of any toaster that works? 
alberto22,3 years ago,2,"The looks are great, but there are serious defects in the product. First the popping up does not work. After the bread has been done, the toaster does not pop them up. Neither of the two levers come up. Second, the single toast function doesn't turn off the heat in one of the compartments. The toasting however is good. If you are willing to stand next to the toaster and wait until it has turned off heat to guess when to pop your toasts manually, you will be fine. But that is what you bought this toaster for. You need automation in life. Unfortunately Cusinart has not done a good job on this model. I have had Cusinart for more than 15 years. I changed to this one because I got bored with the old one, using the same toaster everyday. for so many years. It didn't fail on a single toast in all these years. A wife a two kids later, it is still popping. Looks like my Ol Cusinart is coming back. I will be returning this new one to the store. "
Mari,2 years ago,1,"In less than 2 months of use, one of the levers won't come up. It's used pretty lightly, so seems this toaster is not really made to last "
Jeremiah,a year ago,1,"The single button doesn't work. I thought it was the specific toaster, brought back the unit and the same thing happened with the second one! I called Cuisinart for technical support and they pretty much said ""oh well""... I mean, it doesn't seem to much to ask, in having it function as advertised. It was a very disappointing experience. This was the only toaster available within the warehouse, I will try other stores for different options. "
59Acoupe,3 years ago,2,Difficult to get the bread to be evenly toasted.  Odd that it toasts on one side on the bread setting. Not a fan of stainless and with the toaster being stainless it always seemed spotty and dirty looking. Just  not the right for us. 
Bruce,2 years ago,5,"Although it’s still relatively new, early indications are that this will be the best toaster we’ve ever owned. Have used to toast bagels, bread and waffles so far and the programmed settings work very well. Overall, quality appliance that looks as good as it toasts! "
Old Sole,8 months ago,5,"We purchased this as our old two-slice toaster quit working well, so much so that we needed to run each piece through two cycles.  We toast four to six slices of bread each day so it took a lot of time to prepare toast.  We’ve only had the new Cuisinart toaster about two weeks but thus far, we are very pleased.  It toasts all four pieces on both sides within one cycle.  The button for one slice works well too, and it’s nice-looking.  The only minor drawback is that it is large and might take up too much room for those with limited counter space. "
Mk579,8 months ago,4,"(1) I can confirm this is a toaster. It toasts.(2) I’ve used the Bagel feature not just for bagels but for burger buns (very useful), and the single slice feature And they all work well.(3) This model is useful for families vs. the smaller model. More toast-capacity. I think we can all agree that a toaster’s main function is to toast - no matter the look of it, or the wizz-bangery a company tries to add to the toaster. It toasts! Buy it, and go toast, my friends. "
Mary Swank,3 years ago,1,"It doesn’t seem like all of the coils heat up simultaneously, we have struggled with getting our toast evenly browned. Sometimes it burns it and other time it is spotty looking "
Old one,2 years ago,5,It works great on bagels and muffins as well as toast. it browns toast well on both sides and muffins and bagels on one side. You can control the darknets on them very well. It just works great. 
Cat and Paul,3 years ago,2,This toaster will not take bagel split in half. Nor will it take many loaf breads that I buy. The place where you put the bread is to skinny. I am not pleased with this product. 
Guesswho,2 years ago,2,"6 months into buying my toaster, half of the toaster doesnt work. Also the feature to toast one slice stopped working. Will contact costco incase there is a recall of some sort. "
Peter L,a year ago,5,"This Cuisinart Toaster replaced one that lasted for over 12 years. This new version of the Cuisinart 4-Slice Toaster comes with a few more and very useful options, so it will handle all our toasting needs for bread, bagels, english muffins, and more. It has a one slice feature that allows you to only turn on one of the slots so it's a lot more efficient. We've used it on bread (one slice and multiple slices and bagels so far and it works great!!! "
GhsKid,3 years ago,3,"We are huge Cuisinart fans, but this appears so much cheaper made then our last Cuisinart of over ten years use.  Our expectations are low from how cheap it seems to be made but time will tell.  It does work great so no surprise there as the name of quality.  Works great however so let us hope it lives up to its name.. "
tedk,2 years ago,5,"Looks great and toast is done perfectly, evenly and in minimal time.  We like it so much we bought a 2nd one "
Pamela,3 years ago,3,"It had a ding in it, right in the front!So I returned it. "
Rugby,2 years ago,1,Replacing original purchase because the toaster did not pop up and burned toast to a crisp 2 times.  When burned toast discovered cancel button did not stop.  Had to unplug.  First time was grandson and I attribited the failed pop up to something he did wrong.  Second time was me and I knew it was a bad toaster so we are exchanging.  Both occurences were within first month of arrival. Will update review after new one arrives. 
LeslieC,a year ago,5,"Our old cuisinart was a wedding gift… 16 years ago. It was starting to produce soggy waffles which were unacceptable to the under 10 crowd. I over thought and over analyzed and finally went with something from Costco because if I hated it, it goes back. But it’s great! Waffles toast perfectly (according to the eggo snobs) and I can even cram a sliced Costco croissant into it. Delicious. Good thing Costco sells pants, too. "
Steve,a year ago,5,Had an old ugly toaster my wife hated but it was consistent and toasted well whereas reviews online for other toasters made me think changing it out would be a bad idea. Figured with the return policy if it didn't work well I could return it but we're a few years in and the only issue I've had is if someone doesn't pay attention to the settings you can end up with burnt or poorly toasted items (having defrost selected vs not for instance).  So long as you hit the right button for what you're toasting it works great! 
Nonrof1,a year ago,1,"Bought this toaster on November 18th, 2022. It has never fully toasted a piece of bread. The lights flicker, shine bright then dim, won't allow selection of bread type, pops up after just seconds of toasting, etc. Returning it! Instructions say to unplug the toaster when not in use. Anybody that knows anything about electricity knows that's unsafe when dealing with a purely resistive circuit. I tested the cord after unplugging it and it's carrying static electricity. In other words, this is a MAJOR fire hazard! "
Marti,3 years ago,4,We usually have to push handle down twice for it to stay down 
John K,3 years ago,1,"Don't like it.  The descriptions of the various choices are small and hard to read when placed on the counter.  The slots are not good (wide) for larger slices, or large bagels.   Sorry I bought it! "
asgeorge,3 years ago,5,"We are very pleased with the quality of our new toaster. It toasts very evenly, and all the controls work flawlessly. The levers lift the toast out of the toaster very nicely. Couldn’t be happier. "
Katie,2 years ago,4,"I needed to purchase a 4 slice toaster and this one was a great price. I’ve only used it about 5 times. So far , I’m not sure how to change from “toast” to “English muffin “ unless you unplug the toaster or wait 90 seconds. But that’s not too difficult, just annoying. Single slice works fine, toast darkness settings toast the way we like. Hopefully it will last a few years. We’ll see! "
Hannah,3 years ago,1,"I ordered it online because there was no item in Costco store.I regretted it. UPS threw things in the yard, the box was open, and the product seems not be new. I'll return this item. "
Gfrankel2,a month ago,1,"Replacing broken toaster with newer model by same company.  The old toaster had several features missing on the new one and it worked better.   - Lever needs to be pressed down twice to get the toasting to begin - Toasting is very uneven - old toaster beeped when done, not on this one - old toaster showed progress as it toasts, no display on new one Going to return to Costco "
TexasChar,a year ago,3,"Does not evenly toast, no matter what slot is used. Some edges may be nearly burnt, while the rest of the toast is slightly brown. Quality of appliances are a thing of the past. "
Mishonio,2 years ago,1,"After a few weeks of usage, the unit stopped working  Cuisinart support are not responding. What a company! Won’t be buying their products  Won’t be buying from them "
ClevelandGal,2 years ago,4,"It’s great to be able to do four slices at once. But we’re having trouble sometimes. You have to push the lever down hard or push it twice to get the heating element to start. I use the bread setting every day and it’s working fine but my son has trouble with the bagel setting. The bread is toasted dark on setting 3. Watch the stainless steel finish: the first one I got was dented so I returned it. Also it smells like burning plastic the first few times you use it, so open a window for ventilation. "
BowPuppy,2 years ago,5,"Quiet! This is not a violent popping toaster, and I enjoy the multiple settings. It does not burn the bagel, which is important! "
Tim54,2 years ago,5,"Great toaster . Perfect toast ,  Bagels and English muffins . A big step up from our 20 year old Black & Decker . "
Sylvia,3 years ago,2,This product Is terrible. It doesn’t toast the bread on all sides. Poor quality! I am going to return it. 
Emily,8 months ago,1,"I don't know how a toaster can be this obnoxious, but it is!  The ""toasting"" lever sounds old and rusty.  Sometimes it catches, sometimes it doesn't.  Sometimes the ""4"" setting barely toasts the bagels, other times it burns it.  My last toaster from Cuisinart was great until it broke; this is their new version and it doesn't compare to the old one. "
Nikki,2 years ago,5,Love this toaster! Just what I was looking for at an affordable price. 
Jason L,2 years ago,4,"Works great. Looks very sleek and modern. I like how each side has it's own functions so i can toast one more or less. Only issue is I wish the toast would completely pop up when done. It kind of pops slightly and stop cooking, and I have to push the toast slider up manually to get it out enough to pull out. It's not a big deal though. "
Mike,2 years ago,5,"Works as advertised.  Great for bagels, waffles or toast. "
Debby,2 years ago,1,"This product was a little disappointing. While the appearance is very nice, and the features are really swell, the toaster levers felt flimsy and cheap. The action on the levers that lift up popped toast seemed uneven for each side. I wish I had had the opportunity to actually examine it in person before purchasing. I most likely would not have wasted time and effort on the part of Costco! "
Carlsbad,3 years ago,1,Very slow to toast.  Doesn’t pop up. 
Laura,3 years ago,1,Returned 
Elizabeth,2 years ago,5,I purchased this toaster because I needed yes but because I could see the quality in it. It’s the best toaster I’ve ever had. Other toasters I have made claims to be this or that. But never lived up to what they claimed to be. This toaster makes my toast and other morning meals perfectly. I highly recommend it. I’m sure you will wonder how you ever got along without it. Plus it’s made by one of the best brands on the market. So win win there!!! Thanks again Costco!!! 
Tanner,3 years ago,4,"We have owned a similar toaster by Cuisinart for the last 10 years with no complaints. We thought it was time to upgrade and get a new one so we purchased this stainless steel model. Arrived on time and packaging looked good, but when opened up the stainless steel on the top of the toaster had some decent scuffs in plain view. We plugged it in... put some bread in and it toasted them... tried bagels and it toasted them too. Not much else to complain about. "
Kiki,3 years ago,5,"The second toaster  is great. I returned the first one last week. The first toaster did not work (single toast slot side lever did not go down). Hopefully, this one will continue to work.  I had my last Cuisinart 4 slice toaster for 8 years, so here’s hoping. "
Anonymous,2 years ago,1,"This toaster is poorly constructed, the toast levers frequently jam or not engage at all. This toaster even on the darkest setting frequently requires re-toasting. "
Joey,2 years ago,1,Like all the reviews here less than one star. Everything everyone says on the negative is absolutely true. Ours stopped toasting one side of bread and burned other side. Returning to store when I get another brand in place. Stay away. Looks will fool you. 
Jane,2 years ago,5,Cooks quickly and evenly and can toast many different types of bread. Temperature and time are easy to control. We also like the lever which raises the toast after toasting so you can get it out with burning your fingers or looking for the tongs. 
Tkreusch,2 years ago,5,"I love this toaster. It’s doesn’t beep, which I love but my husband hates. Toasts amazing, but very sensitive in level of toasting with the knobs so be careful. Defrost option works wonderful. All and all my favorite toaster yet, great price. "
Keszler300,8 months ago,1,This toaster's settings are not consistent at all. Either everything is burnt or not toasted at all. It doesn't matter what setting it's on. Never thought a toaster would make me this irritated. 
Rosaura,3 years ago,1,The box arrived all beaten and the product in very bad condition. 
Bob Mi,2 months ago,1,"Owned a Cuisinart 4 slice toaster for 10 years and it was great.  Ordered a new on several weeks ago on line at Costco.  One row of elements were barley lit.  It was not on Bagle setting.  Returned to Cosco Whs. without a hitch.  Ordered another one on line at Costco. The second Cuisinart Custom Select 4-Slice Toaster.  The new toaster had exactly the same problem with the row of elements.  Called Cuisinart customer service to see if they were getting the same response from other customers.  They said no, and indicated I should return it to Costco Whs. They could care less if I purchased anymore of their products.  Too bad since I have other quality Cuisinart products.....End of that Brand in our house.  Thank you Costco as we will continue to be your loyal customer because of your other great products, customer service and employees to care about the customer. "
CAL98,2 years ago,5,Brushed exterior helps with fingerprints. Versatile for family or single person: can toast 4 bagels/English muffins or a single slice of bread. Keeps 2 settings in memory. 
TEENS,8 months ago,1,Only half of the heating element wires heat up on any of the 4 slices. I have never had such a bed toaster. Should have returned it but was inconvenient time. 
KathySF,2 years ago,5,"Great toaster! Bought one for my dad months ago. Then when my toaster failed, I bought the same toaster for myself. I’m certain it’s the best. "
Allison J,2 years ago,5,Love the toaster. Stainless steel is sleek. Style slightly old fashioned. Love the blue lights against the silver. Toasts the bread evenly. 
JAS55,2 years ago,5,Excellent toaster. The best we have ever had. Toasts uniformly. Various settings are very useful. Style is appealing. Highly recommend. 
Juliek5,2 years ago,5,"It does exactly what I wanted it to. My old toaster had just died after 20 years, so I ordered this one and it is awesome! Love it... "
Poorbikrchick,5 months ago,4,"Very fast and even toasting. Seems like the slots should a bit longer. For the price, I like it. Glad I didn’t spend more than I did. "
KG69,2 years ago,5,"Looks great and toasts evenly. Many choices for a bagel, waffle, toast muffin and more. So nice to be able to toast 4 items at once. "
Happy customers,2 years ago,5,"We love this toaster! It does a great job toasting a variety of items, it's really quick, and looks great!Definitely recommend! "
Ed W,a year ago,5,Toasts all types of breads very well and uniformly. The sides of the unit do not get hot like some more cheaply made toasters. 
erta,3 years ago,4,"Toaster looks nice.  It actually toasts, but it's slow to do so.  Negative would be too many options. "
Boe 1,3 months ago,1,Uneven toasting.  Burns edges of bread.  Both sides of bread toast differently. 
Joyce,3 years ago,5,Got one in my Florida home & liked so much go another for my Pa home. 
Shorts,3 years ago,3,It is not consistent toasting the bread. 
1CARLOS,2 years ago,5,Great for a large family 
Bob G,3 months ago,2,"The appearance of the toaster is nice, but its functionality is terrible. It has selections for bread, bagel, waffle, pastry and English muffin. The problem is all the buttons perform the same, and that is bagel. If you look in when it is toasting you can see only the outer elements are heating up (Glowing)  on the outside position of the toaster, the inside position all the elements are heating up. When the bread comes out, on one side only the outer edge is toasted and the other side is completely toasted. It’s the same on either left or right, and nothing changes if you hit bagel or any other button selection. Instead of having simple toaster they over complicated it and failed in its basic function to toast bread. Ive taken pictures that show what is going on but can’t post them on this site. So bottom line, if you want a toaster specifically for bagels, this is your machine, otherwise find another! "
SAMO,3 years ago,3,Good but not perfect! 
waltsh,a month ago,2,"This toaster is adequate, but a couple of things I don’t care for are;  too many choices in small print on the buttons and how the base doesn’t stay put on the counter.  Every time I push down to lower the bread into the toaster-it dances away.  Very disconcerting and a little dangerous because the appliance is hot.  Also when I hit “Cancel”,  the Toaster stays on. "
Kandi,2 years ago,5,"I haven't had a toaster for a while but I have been eating more bread and would like to be able to toast it. I really like this toaster. It has a way to do a single side and has different buttons for bread, bagel, waffle, pastry and English muffin. It also has a defrost button. The lever that you press down also goes up to remove the toast without any difficulty. The only thing that I would like that it doesn't have is a removable bottom or drawer to easily clean. THAT would make it perfect. Thanks Cuisinart! You've done it again! "
Ischlep,2 years ago,3,"While it toasts significantly faster than my toaster oven, it feels very flimsy.  When the toasting is done, the bread barely comes up to the top, there is no ""ding"" or bell to let me know it's over.  And I've noticed that it toasts more on one side of the bread than the other.  I mean, it works but it's very so-so for a Cuisinart product.  I expected better. "
scootgal,a year ago,2,"I am disappointed with this Cuisinart toaster. I like others have an issue ensuring the button is pushed down all the way. I will have the rest of breakfast ready to go and realize the toaster is not toasting since the button was not engaged all the way. I also have problems with getting it to toast the right way. It always seems to be too dark no matter how light I set the toaster. This is a disappointing toaster from Cuisinart. I have given this a 6 month trial and will be returning. Thank you Costco, for your return policy. "
K92217,2 years ago,1,The toaster I received was scratched and the card wasn't wrapped. It was returned after it was opened. 
Lg is not smart,a year ago,1,"This toaster does not hold the bread down to be toasted.  I frequently have to push it down several times & hold it down until the coils turn on.    Once it “ engages” it seems to work fine, but it is disappointing on timing with other foods when the bread is not toasted when the rest of the meal is ready.    I do not recommend this toaster "
John M,a month ago,1,"Our third or fourth one in 10 years, and they haven't improved it one bit over that time, but it's the only 4 slice toaster at Costco, so we bought it. Controls are flimsy (the handle on the last one broke) and does not toast dark enough.  We returned onlyone previously and may return this one...and then buy a better brand somewhere else. "
Lauren B,3 years ago,3,"The sides get really, really hot. "
Michael from ATX,2 years ago,4,This was our second one as we loved our first one and we bought this as a gift.  The only reason we are not giving 5 stars is the right side toaster does not always start though you have pushed the slider down.  This is minor so 4.5 would be a more accurate rating.  We do like it enough to purchase one as a gift! 
disappointed cb,a year ago,1,"I was disappointed with this Cuisinart Toast.  It had everything I wanted in a toaster, but...unfortunately, it only toasted the bottom half of the bread or bagel, and with the toast settings of 1-10, anything over 2 1/2 was burnt.  Hoping this toast is just defective and all of them are not like this one. "
Anonymous,2 days ago,5,I purchased this toaster to replace a 4 sliceCuisinart toaster that was so old that I can’t remember when I bought it.  It is not often that an appliance performs so well for so long so I decided to double down and I think I made a good decision. 
David,3 years ago,1,Toaster was scratched and scuffed. 
Charlee Stardust,a year ago,3,"I would have given 5-Stars except there's one problem - the SINGLE SLICE feature doesn't work.  Instead, it turns off toasting on one side of both slices (note: the right toasting lever retracts and powers two slices at a time).  So I bought another Cuisinart 4-Slice Toaster with the same feature, and it too does not work.  So much for quality assurance testing at Cuisinart!  I like this toaster except I am single and I normally don't need two slices toasted so it wastes electricity in that regard.  :( "
Toasted in Wilford,5 months ago,3,The push down levers need to be pushed down twice the get them to stay down. It will not toast homemade sourdough bread on a single session even when set to the highest setting. Darkness levels increase with continued use. This toaster is not made in USA. 
Geoffrey,10 months ago,2,Not sure about this toaster as I had to buy two to replace the one I had previously that lasted 4-5 years.. The mechanism that holds the handle down is difficult to engage on both the one I returned and the last one I purchased..Disappointing for sure. 
sueinca,6 months ago,1,"Find another brand. I have used Cuisinart Toasters for years because of Costco. But each one has been inconsistent with toasting. Some days you have to push it twice, some days it burns….all on the same settings. Time to return this one. "
FDierker,a year ago,5,"Great toaster. Performs as described. As a recommendation, I would run it at its highest temperature a few times after purchasing as there is quite a heavy chemical smell that needs to burn off (for us it was gone after 2-3 days use) "
Ronni,2 years ago,4,"This toaster is OK but takes some getting used to. It sometimes under toasts and sometimes burns, but I think I just have to figure out what number to put it on after something is on the Defrost setting. Otherwise, I think it's fine. "
James,2 years ago,5,Don't have any complaints really.   When you push the lever down you do have to make sure it clicks to start heating.   It seems to only fit normal or small slices if you have thing thick you would have to cut it like a large bagel. 
mmichlle,2 years ago,4,"Nice toaster. I have to put my bread down twice to actually get it brown, and it does have a little quirk, where you must click the lever into place, if you just push it down it won't toast at all with out that click at the bottom. "
Camille6,a year ago,5,"We love this toaster so much we decided to get a second one for our son. It has buttons to push depending on if you’re having bread, bagels, waffles, pastries or english muffins. Plus dials 1-7 on how toasted you want your food. "
Wanda,2 years ago,3,The toaster is nice looking free shipping and the price was right but it toasts unevenly so if you’re looking for uniformity- this isn’t for you. It gets the job done and looks good- you’ll be satisfied enough just not wowed… 
Bruce,25 days ago,2,I returned it.  It took 2-3 times pushing down on the handle to get it to catch and start toasting.  Then when it was done sometimes it wouldn't pop up enough to know it was done.  The quality just wasn't there. 
Shady Toast,2 years ago,1,I will be returning after one week. Two things a toaster needs to do well. Have good consistent temperature settings. Plus even browning on both sides of bread. It does neither. The bad reviews were spot on. 
Rose,a year ago,2,Temp control fail results in burnt toast on 3/medium level. Single slice option still heats 2 slots- misrepresented option .  Missing a removable panel at base to clean.  Cheap quality at a cheap price 
Jen H,6 months ago,5,"We bought this toaster for ourselves (millennials) and then bought one a year or so later for my Dad (boomer) and it is loved by all! Simple, easy buttons, toasts great, and has been really reliable. "
MGV1,2 years ago,1,We have been buying Cuisinart for a while. We use a lot. This one is not very good. The levers do not stay down. We have to try several times. I do like the buttons for the different types of breads. 
